Segment	Family			Model	capacity		RPM		Interface		Buffer size	Sector size

Desktop	 P80			SP0211N	  20	????	PATA 0.133 Gbps	2		512

Desktop	????			HS031GA	  30	3600	PATA/ZIF		2		512
Desktop	????			HS030GB	  30	4200	PATA/ZIF		2		512
Mobile	MP4				HM031HC	  30	5400	PATA			8		512

Desktop	 P80			SP0401N	  40	????	PATA 0.133 Gbps	2		512
Desktop	????			HS041HA	  40	3600	PATA/ZIF		2		512
Desktop	????			HS040HB	  40	4200	PATA/ZIF		2		512
Desktop	????			HD041GJ	  40	7200	SATA 3.0 Gbps	2		512
Desktop	????			HS04THB	  40	4200	PATA/ZIF		8		512
Desktop	????			HD042GJ	  40	7200	SATA 3.0 Gbps	8		512

Desktop	 P80			SP0612N	  60	????	PATA 0.133 Gbps	2		512
Desktop	????			HS061HA	  60	3600	PATA/ZIF		2		512
Desktop	????			HS060HB	  60	4200	PATA/ZIF		2		512
Desktop	????			HS06THB	  60	4200	PATA/ZIF		8		512
Desktop	????			HS06VHF	  60	5400	SATA 3.0 Gbps	16		512
Desktop	????			HS06RHF	  60	5400	SATA 3.0 Gbps	16		512

Desktop	 P80			SP0802N	  80	????	PATA 0.133 Gbps	2		512
Desktop	????			HS080HA	  80	3600	PATA/ZIF		2		512
Desktop	????			HD081GJ	  80	7200	SATA 3.0 Gbps	2		512
Desktop	????			HS080HB	  80	4200	PATA/ZIF		2		512

Desktop	????			HS081HA	  80	3600	PATA/ZIF		2		512
Desktop	????			HS081HB	  80	4200	PATA/ZIF		2		512
Desktop	????			HS082HB	  80	4200	PATA/ZIF		8		512
Desktop	????			HS083HB	  80	4200	PATA/ZIF		8		512
Desktop	 P80			SP0812N	  80	????	PATA 0.133 Gbps	8		512
Desktop	 P80			SP0812C	  80	????	SATA 1.0		8		512
Desktop	????			HD082GJ	  80	7200	SATA 3.0 Gbps	8		512
Desktop	F1DT			HD642JJ	  80	7200	SATA 3.0 Gbps	8		512
Desktop	????			HS08VHF	  80	5400	SATA 3.0 Gbps	16		512
Desktop	????			HS08RHF	  80	5400	SATA 3.0 Gbps	16		512

Desktop	????			HS10TJB	 100	4200	PATA/ZIF		8		512

Desktop	????			HS120JB	 120	4200	PATA/ZIF		2		512
Desktop	????			HS12UJQ	 120	4200	CE-ATA			2		512
Desktop	 P80			SP1203N	 120	????	PATA 0.133 Gbps	2		512
Desktop	????			HS122JB	 120	4200	PATA/ZIF		8		512
Desktop	 P80			SP1213N	 120	????	PATA 0.133 Gbps	8		512
Desktop	 P80			SP1213C	 120	????	SATA 1.0		8		512
Desktop	????			HD120HJ	 120	7200	SATA 3.0 Gbps	8		512

Desktop	????			HS12RJF	 120	5400	SATA 3.0 Gbps	16		512
Desktop	????			HS12VJF	 120	5400	SATA 3.0 Gbps	16		512

Desktop	 P80			SP1604N	 160	????	PATA 0.133 Gbps	2		512
