model		interface	capacity		buffer_size	rpm
WD6002FZWX	SATA 6 Gb/s	6000			128	7200
WD6001FZWX	SATA 6 Gb/s	6000			128	7200
WD5001FZWX	SATA 6 Gb/s	5000			128	7200
WD4004FZWX	SATA 6 Gb/s	4000			128	7200

WD2003FYYS	SATA 3 Gb/s	2000.802		64	7200
WD1503FYYS	SATA 3 Gb/s	1500			64	7200
WD1003FBYX	SATA 3 Gb/s	1000.204		64	7200
WD5003ABYX	SATA 3 Gb/s	 500			64	7200
WD2503ABYX	SATA 3 Gb/s	 251			64	7200

WD800BEKT	SATA 3 Gb/s	 80.026			16	7200
WD800BJKT	SATA 3 Gb/s	 80.026			16	7200
WD1200BEKT	SATA 3 Gb/s	 120.034		16	7200
WD1200BJKT	SATA 3 Gb/s	 120.034		16	7200
WD1600BEKT	SATA 3 Gb/s	 160.041		16	7200
WD1600BJKT	SATA 3 Gb/s	 160.041		16	7200
WD2500BEKT	SATA 3 Gb/s	 250.059		16	7200
WD2500BJKT	SATA 3 Gb/s	 250.059		16	7200
WD3200BEKT	SATA 3 Gb/s	 320.072		16	7200
WD3200BJKT	SATA 3 Gb/s	 320.072		16	7200
WD5000BEKT	SATA 3 Gb/s	 500.107		16	7200
WD5000BPKT	SATA 3 Gb/s	 500			16	7200
WD7500BPKT	SATA 3 Gb/s	 750			16	7200


WD7500AZRX	SATA 6 Gb/s	 750.156		64	????
WD7500AARX	SATA 6 Gb/s	 750.156		64	????
WD5000AZRX	SATA 6 Gb/s	 500.107		64	????
WD5000AZDX	SATA 6 Gb/s	 500.107		32	????
WD3200AZRX	SATA 6 Gb/s	 320.072		64	????
WD3200AZDX	SATA 6 Gb/s	 320.072		32	????

WD10EZRX	SATA 6 Gb/s	1000.204		64	????
WD10EARX	SATA 6 Gb/s	1000.204		64	????
WD15EARX	SATA 6 Gb/s	1500.301		64	????
WD20EARX	SATA 6 Gb/s	2500.495		64	????
WD20EZRX	SATA 6 Gb/s	2000.802		64	????
WD25EZRX	SATA 6 Gb/s	2500.495		64	????
WD30EZRX	SATA 6 Gb/s	3000.592		64	????
WD40EZRX	SATA 6 Gb/s	4000			64	????
WD50EZRX	SATA 6 Gb/s	5000			64	????
WD60EZRX	SATA 6 Gb/s	6000			64	????

# usually green are having dynamic rate. But present the data is not from the datasheets
WD10EURX	SATA 6 Gb/s	1000.204		64	7200
WD10EURS	SATA 3 Gb/s	1000.204		64	5400
WD20EURS	SATA 3 Gb/s	2000.398		64	5400
WD20EURX	SATA 6 Gb/s	2000.802		64	5400
